trajectory_id,seed,arm,original_role,v2_role,anchor,bank,bank_role,contrast,group,delta_X,delta_S,delta_W,delta_I,delta_v,baseline_v,candidate_v,baseline_qX,candidate_qX,q_denominator_status,e_norm,inference_alias,T_minus_B_minus_C_maxabs
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,no_x_off_1_minus_joint_0,2,-0.00015359613523995697,-0.0006375095322603956,0.0015870042194502292,-0.0007958985519498582,0.0007958985519498582,0.8900110672328024,0.8908069657847523,0.07450263331519906,0.07426364475607343,PRESENT,0.031906284782842693,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,no_x_off_1_minus_joint_0,3,-0.00015140702586458169,-0.0006186710881172763,0.0015414991398676376,-0.0007714210258857612,0.0007714210258857612,0.8899001488616343,0.89067156988752,0.07453097919028177,0.07429643505824195,PRESENT,0.031906284782842693,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,no_x_off_1_minus_joint_0,4,-0.00011466739114445709,-0.0007155719326507753,0.0016272459616177566,-0.0007970066378225592,0.0007970066378225592,0.8909338526949249,0.8917308593327474,0.07457744177334448,0.074382196643665,PRESENT,0.031906284782842693,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,2,fit,no_x_off_1_minus_joint_0,5,-0.0001155135415616855,-0.00070732142505824,0.0016033535243968517,-0.0007805185577769561,0.0007805185577769561,0.8911743542789013,0.8919548728366783,0.07466075861604182,0.07446591955580267,PRESENT,0.031906284782842693,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,joint_1_minus_joint_0,0,-0.0002750855538459692,-0.0006611986177425461,0.001859852958665355,-0.0009235687870768534,0.0009235687870768534,0.8898710276692361,0.8907945964563129,0.07653787789112866,0.07614971483954433,PRESENT,0.06525261908323712,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,joint_1_minus_joint_0,1,-0.0002697053322818464,-0.0006679709157036947,0.0018871946631917507,-0.0009495184152062314,0.0009495184152062314,0.8898577663751341,0.8908072847903404,0.07651827351465451,0.07613394701898113,PRESENT,0.06525261908323712,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,joint_1_minus_joint_0,2,-0.0002162940113441709,-0.0006881368706284639,0.0017958077432358068,-0.0008913768612631063,0.0008913768612631063,0.8895470390640057,0.8904384159252687,0.07453651833052681,0.07421899593476482,PRESENT,0.06525261908323712,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,joint_1_minus_joint_0,3,-0.00021561770885551027,-0.000691302804570187,0.0018239170733645445,-0.0009169965599387478,0.0009169965599387478,0.8894888081538921,0.8904058047138308,0.07457229532610368,0.07425333935610352,PRESENT,0.06525261908323712,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,joint_1_minus_joint_0,4,-0.00019581320760204735,-0.0008074907698963119,0.0019398419956601258,-0.0009365380181617967,0.0009365380181617967,0.8904920215271662,0.8914285595453281,0.07459678415113326,0.07429875024909213,PRESENT,0.06525261908323712,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,joint_1_minus_joint_0,5,-0.00019679766283226097,-0.000819343374005122,0.001989034884795163,-0.0009728938479577641,0.0009728938479577641,0.8907574217231108,0.8917303155710685,0.07468530767474674,0.07438313275201881,PRESENT,0.06525261908323712,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,no_x_off_1_minus_joint_0,0,-2.53157796929887e-05,-6.069631547084633e-05,0.000333901109316063,-0.0002478890141521898,0.0002478890141521898,0.8898710276692361,0.8901189166833883,0.07653787789112866,0.07648812197879085,PRESENT,0.01743648889087372,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,no_x_off_1_minus_joint_0,1,-2.3663988920129962e-05,-6.32124572200789e-05,0.00034798834896070563,-0.00026111190282055455,0.00026111190282055455,0.8898577663751341,0.8901188782779548,0.07651827351465451,0.07646924206280784,PRESENT,0.01743648889087372,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,no_x_off_1_minus_joint_0,2,-1.6016471435119587e-05,-6.49919201529715e-05,0.0003166972703874393,-0.00023568887879927994,0.00023568887879927994,0.8895470390640057,0.8897827279428049,0.07453651833052681,0.07449877439729977,PRESENT,0.01743648889087372,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,3,fit,no_x_off_1_minus_joint_0,3,-1.6033638815561576e-05,-6.800412653171678e-05,0.0003299372328833908,-0.00024589946753604075,0.00024589946753604075,0.8894888081538921,0.8897347076214281,0.07457229532610368,0.07453366479249096,PRESENT,0.01743648889087372,False,0.0
