method,n,proposal,case,event,units,four_event_total_mse,count,signed_bias,pooled_residual_population_variance,mse,mae,max_absolute,mean_within_unit_prompt_repeat_sample_variance,signed_q50,signed_q90,signed_q95,signed_q99,absolute_q50,absolute_q90,absolute_q95,absolute_q99
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTITY_HASH_SELECTED,X,12,9.388588021700588e-08,172800,-1.9114985051543397e-07,3.817970749204132e-09,3.818007287469484e-09,3.214235064703984e-05,0.0008791799562318996,3.82036940019275e-09,0.0,5.485672070280038e-05,9.609574607038105e-05,0.00019402596200273587,9.128843282615339e-06,9.682101479579046e-05,0.000141231657663184,0.00024583330188658625
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTITY_HASH_SELECTED,S,12,9.388588021700588e-08,172800,1.6760811757555232e-08,2.109288366413164e-08,2.1092883945056452e-08,8.120123593095695e-05,0.0012211099788966293,2.1086998578337955e-08,0.0,0.0001481830497339845,0.0002437952198997723,0.00044681276632124826,2.7581344612998354e-05,0.00024592077221646607,0.0003379419686762865,0.0005330882503835427
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTITY_HASH_SELECTED,W,12,9.388588021700588e-08,172800,-7.014116480503404e-07,2.5100751925596535e-08,2.5101243903896554e-08,9.430054990058292e-05,0.0012084571395921816,2.5120449689864426e-08,0.0,0.00017652623941588386,0.00027250442791185533,0.0004690438080613204,4.126000455382232e-05,0.0002735856989330927,0.00036077805271705936,0.0005440939894018984
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTITY_HASH_SELECTED,I,12,9.388588021700588e-08,172800,8.758006868066313e-07,4.38729780537404e-08,4.38737450805834e-08,0.00012489635994098437,0.001437151170056721,4.388325585983343e-08,0.0,0.00023780025231698323,0.00036629929400105603,0.0006050012103776221,5.4445999083332474e-05,0.00036562455461550873,0.00047967863376064605,0.0007124369792925982
CROSSFIT_COV_ZERO_SUM,256,equal_pair_mixture,IDENTITY_HASH_SELECTED,delta_v,12,9.388588021700588e-08,172800,-8.758006868066313e-07,4.38729780537404e-08,4.38737450805834e-08,0.00012489635994098437,0.001437151170056721,4.388325585983343e-08,-0.0,0.0002332227393841526,0.00036494945061055244,0.0006244697356601451,5.4445999083332474e-05,0.00036562455461550873,0.00047967863376064605,0.0007124369792925982
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTITY_HASH_SELECTED,X,12,9.1772179144059e-08,172800,9.170708241638033e-09,3.877911484326773e-09,3.877911568428662e-09,3.227416115567104e-05,0.0007674652406243782,3.877994423300392e-09,0.0,5.551627606967259e-05,9.640857920885413e-05,0.00019605809734545368,9.052604192959628e-06,9.69132832963489e-05,0.00014241902302472792,0.00024734023903029716
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTITY_HASH_SELECTED,S,12,9.1772179144059e-08,172800,1.6242322336098266e-07,2.1371963420926028e-08,2.1371989802229514e-08,8.174506536138464e-05,0.0013419342171245398,2.136522993005993e-08,0.0,0.000149885695350202,0.0002462538733726908,0.0004539706081017925,2.7995747600470847e-05,0.0002470986985682462,0.0003396665986366105,0.0005333347626472582
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTITY_HASH_SELECTED,W,12,9.1772179144059e-08,172800,-6.31031387400843e-08,2.4273862646349708e-08,2.4273866628355828e-08,9.278680087194416e-05,0.0011525601205241193,2.4284647176386507e-08,0.0,0.0001742202736348724,0.0002688991717127674,0.0004594715155108355,4.082656558385546e-05,0.0002686598564518336,0.00035563815947239343,0.0005346274296761873
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTITY_HASH_SELECTED,I,12,9.1772179144059e-08,172800,-1.0849079286412933e-07,4.2248399374792876e-08,4.224841114504501e-08,0.00012271025956340928,0.0014548792820759503,4.2275008336401903e-08,0.0,0.0002316910585720642,0.00035715011610908755,0.0005956531465018543,5.394986459273808e-05,0.00035713534767121654,0.0004738347272778202,0.0006979363140127645
CROSSFIT_COV_ZERO_SUM,256,origin,IDENTITY_HASH_SELECTED,delta_v,12,9.1772179144059e-08,172800,1.0849079286412933e-07,4.2248399374792876e-08,4.224841114504501e-08,0.00012271025956340928,0.0014548792820759503,4.2275008336401903e-08,-0.0,0.00023148368487404384,0.0003570326212556115,0.0006133113805566676,5.394986459273808e-05,0.00035713534767121654,0.0004738347272778202,0.0006979363140127645
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,1024,equal_pair_mixture,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
