observation,method,rank_cap,diagnostic,covariance_source,blocks,training_seed_count,projector_distance_mean,scope,pX_nrmse,v_nrmse
O_LR_ORIGIN,C6,FULL,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,3.179522259392374e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.33701483885406525,0.20289907117273323
O_LR_ORIGIN,C6,FULL,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,3.777058028249349e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.2941416229756584,0.1937239191553184
O_LR_ORIGIN,C6,FULL,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,3.676202723598021e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.29413913539680325,0.19372781752914248
O_LR_ORIGIN,C6,FULL,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,3.777058028249349e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.33700797957215145,0.20285330024319048
O_LR_ORIGIN,C6,FULL,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,3.676202723598021e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3370148388540652,0.20289907117273331
O_LR_ORIGIN,C6,1,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,1.3758301322878396e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4223378075194652,0.3199116223948046
O_LR_ORIGIN,C6,1,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,1.282885673207893e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4139537066572383,0.3361967651665487
O_LR_ORIGIN,C6,1,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,0.05992051315328081,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4096021735767044,0.31776630656999544
O_LR_ORIGIN,C6,1,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,0.059873284529823656,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.40910222089365944,0.31680742977107446
O_LR_ORIGIN,C6,1,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,0.05992051315328081,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.422615078211675,0.31945276010945606
O_LR_ORIGIN,C6,1,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,0.059873284529823656,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4157520180883669,0.33548998112537953
O_LR_ORIGIN,C6,2,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,1.9398155139607096e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.32680723598634515,0.19452301881781267
O_LR_ORIGIN,C6,2,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,1.792638704114534e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.306900283501697,0.22839902854050328
O_LR_ORIGIN,C6,2,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,0.45531377385361854,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.30598387998158744,0.18966229794931255
O_LR_ORIGIN,C6,2,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,0.45528147024405524,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3028794401156799,0.18989543771706283
O_LR_ORIGIN,C6,2,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,0.45531377385361854,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3274135077672131,0.1943874161849061
O_LR_ORIGIN,C6,2,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,0.45528147024405524,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3093744118853264,0.22514287851207795
