method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B3_UPDATE_PCA,4,1e-05,exact,8,per_prompt,actual_d,3,6.441272825351063e-05,0.0003143408837877717,6.44127282535102e-05,0.00031434088378777195,6.441272825351058e-05,0.0003143408837877717,0.00019244264667585097,0.0011025408304724527,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,4,1e-05,exact,8,per_prompt,actual_d,4,6.192331489956774e-05,0.00030378649198051,6.192331489956649e-05,0.0003037864919805087,6.192331489956768e-05,0.00030378649198050994,0.00021662046301524889,0.0010690379672886384,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,4,1e-05,exact,8,per_prompt,actual_d,5,6.311450220634557e-05,0.00030492487146589357,6.311450220634527e-05,0.0003049248714658934,6.311450220634554e-05,0.00030492487146589357,0.00020646948682690884,0.0011033458513589527,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,0,8.525751636244221e-05,0.00029167720127199804,8.525751636244204e-05,0.000291677201271998,8.525751636244213e-05,0.00029167720127199804,0.00028131545549040345,0.0010318463440840413,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,1,8.742212660329663e-05,0.00029411174663696206,8.742212660329521e-05,0.00029411174663696146,8.742212660329667e-05,0.00029411174663696206,0.00028602614746338535,0.0010383731624952525,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,2,6.991584263690414e-05,0.0002989225498670959,6.99158426369038e-05,0.0002989225498670946,6.99158426369041e-05,0.00029892254986709583,0.00021185425888174764,0.0010177918483385718,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,3,7.220975652818284e-05,0.0003027716257544895,7.220975652818191e-05,0.00030277162575448964,7.220975652818287e-05,0.0003027716257544894,0.00020710249680594602,0.0010366413716728128,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,4,6.673228073660434e-05,0.0002853128656512512,6.673228073660296e-05,0.0002853128656512499,6.673228073660443e-05,0.0002853128656512512,0.0002218435091341157,0.001021903639119534,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,8,0.01,exact,8,per_prompt,actual_d,5,6.928734373673908e-05,0.0002887985060975221,6.928734373673798e-05,0.0002887985060975217,6.928734373673905e-05,0.0002887985060975221,0.00022211262209313786,0.0010390746964593289,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,16,0.01,exact,8,per_prompt,actual_d,0,8.342358515091342e-05,0.0002778420441260864,8.342358515091305e-05,0.00027784204412608634,8.342358515091343e-05,0.00027784204412608645,0.00027489857524284065,0.0009340292315891119,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,16,0.01,exact,8,per_prompt,actual_d,1,8.550601946036795e-05,0.0002798439895140655,8.550601946036674e-05,0.0002798439895140657,8.550601946036796e-05,0.0002798439895140655,0.00028249106474084534,0.0009676829014614385,primary,1,[0],60,10,MATCHES_B0_EXACTLY
