method,rank_cap,alpha,n,fit_budget,representation,input_mode,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,304,0.06085158014458436,0.06085158014458436,0.0035221723957802207,0.0035221723957802207,0.0,0.865162037037037,2.8979588586275873,2.8979588586275873,1.0,360,0.08120390225264952,0.08120390225264952,0.005286869780674797,0.005286869780674797,0.1646310894283184,0.0021604330023734,0.006240318749301976,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,304,0.04271835936895575,0.042138247801849556,0.031177821643100716,0.03071514672418256,0.1672067901234568,0.865162037037037,261.7325539188303,2.8979588586275873,9.503482156672295,360,0.06135686065775207,0.060476852238602455,0.050243672625292904,0.04997119814343986,0.11881862678280455,0.03701602681256759,0.03247280320994786,robust,5
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,304,0.01580018098179173,0.01580018098179173,0.0035221723957802207,0.0035221723957802207,0.0,0.865162037037037,2.8979588586275873,2.8979588586275873,1.0,360,0.021240299370356548,0.021240299370356548,0.005286869780674797,0.005286869780674797,0.043301640933339075,0.0021604330023734,0.006240318749301976,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,304,0.0066212723535549805,0.006621232379737575,0.015975573173986086,0.015975534907494204,0.0002700617283950617,0.865162037037037,47.74752487241142,2.8979588586275873,4.059096011524263,360,0.009108758741193596,0.009108725688783719,0.02145991204018522,0.021459906531052717,0.018125135573351707,0.012673578654315967,0.010463245193590162,robust,5
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,304,0.01580018098179173,0.01580018098179173,0.0035221723957802207,0.0035221723957802207,0.0,0.865162037037037,2.8979588586275873,2.8979588586275873,1.0,360,0.021240299370356548,0.021240299370356548,0.005286869780674797,0.005286869780674797,0.043301640933339075,0.0021604330023734,0.006240318749301976,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,8,per_prompt,actual_d,304,0.010520688383029105,0.010516564727176683,0.009444987522080662,0.009441048565048777,0.00925925925925926,0.865162037037037,21.231196888214146,2.8979588586275873,2.7067062830836983,360,0.015314775954025603,0.015310805846720257,0.014310003653197808,0.01430884171163649,0.029747693810138632,0.009259269905542296,0.007903357318823764,robust,5
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,305,0.003149269407621723,0.0031492694076217225,0.003149269407621723,0.0031492694076217225,0.0,0.8587962962962963,0.49890199889609577,0.49890199889609577,1.0,72,0.00490506910031476,0.00490506910031476,0.00490506910031476,0.00490506910031476,0.007888959914973178,0.002686383113517664,0.007032704747235826,robust,1
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,305,0.003149269407621723,0.0031492694076217225,0.003149269407621723,0.0031492694076217225,0.0,0.8587962962962963,0.49890199889609577,0.49890199889609577,1.0,72,0.00490506910031476,0.00490506910031476,0.00490506910031476,0.00490506910031476,0.007888959914973178,0.002686383113517664,0.007032704747235826,robust,1
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,305,0.0004564358296309834,0.00045643582963098364,0.00045643582963098326,0.00045643582963098364,0.0,0.8587962962962963,0.01970207977818583,0.49890199889609577,0.19872312804401152,72,0.0009747506748865741,0.000974750674886574,0.0009747506748865743,0.000974750674886574,0.0016544287965103337,0.00028196767988427295,0.0008402107371277487,robust,1
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,305,0.000674251600605898,0.000674251600605898,0.0006742516006058979,0.0006742516006058979,0.0,0.8587962962962963,0.03290845295817842,0.49890199889609577,0.256830212558292,72,0.00125976993964695,0.0012597699396469499,0.0012597699396469499,0.0012597699396469499,0.0020841354708866677,0.0008436075347565056,0.002206744102699007,robust,1
