method,rank_cap,n,telemetry,H,noise,fit_budget,representation,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_NET_DISPLACEMENT,1,0,8,per_prompt_helmert,0.0006166243171118331,0.0006166243171118333,0.0006166243171118331,0.0006166243171118333,0.0,0.861111111111111,0.017791844574240535,0.4918481073406968,0.19019320010557544,60,0.0010147022396168072,0.0010147022396168072,0.001014702239616807,0.0010147022396168072,0.0015097156674175373,0.0008779749119433744,0.0022219070963390443,0.1901932001055755
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_PATH,2,0,8,per_prompt_helmert,0.0009776773330230763,0.0009776773330230763,0.0009776773330230763,0.0009776773330230763,0.0,0.7519675925925926,0.09675675228213579,2.465428886064776,0.19810452757053146,120,0.0016732228020203072,0.0016732228020203072,0.0016732228020203072,0.0016732228020203072,0.0028546347917321577,0.0013648206761313064,0.0032977659112792862,0.19810452757053146
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_NET_DISPLACEMENT,2,0,8,per_prompt_helmert,0.0009776773330230763,0.0009776773330230763,0.0009776773330230763,0.0009776773330230763,0.0,0.7519675925925926,0.09675675228213579,2.465428886064776,0.19810452757053146,120,0.0016732228020203072,0.0016732228020203072,0.0016732228020203072,0.0016732228020203072,0.0028546347917321577,0.0013648206761313064,0.0032977659112792862,0.19810452757053146
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_PATH,4,0,8,per_prompt_helmert,0.0019261244019595878,0.0019261244019595878,0.0019261244019595878,0.0019261244019595878,0.0,0.5991319444444444,0.8661778083777417,14.816577127474233,0.24178512751187065,240,0.0035399869553931836,0.0035399869553931836,0.0035399869553931836,0.0035399869553931836,0.006276973398452521,0.002848800913882318,0.006752591455202863,0.24178512751187065
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_NET_DISPLACEMENT,4,0,8,per_prompt_helmert,0.0019261244019595878,0.0019261244019595878,0.0019261244019595878,0.0019261244019595878,0.0,0.5991319444444444,0.8661778083777417,14.816577127474233,0.24178512751187065,240,0.0035399869553931836,0.0035399869553931836,0.0035399869553931836,0.0035399869553931836,0.006276973398452521,0.002848800913882318,0.006752591455202863,0.24178512751187065
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_PATH,8,0,8,per_prompt_helmert,0.0044064126335170905,0.0044064126335170905,0.0044064126335170905,0.0044064126335170905,0.0,0.42890625,9.610232395867301,92.91184834570944,0.32161137074920576,480,0.008337773294577609,0.008337773294577609,0.008337773294577609,0.008337773294577609,0.015546752584701158,0.006142118071275049,0.013673295529437926,0.32161137074920576
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0,8,per_prompt_helmert,0.0044064126335170905,0.0044064126335170905,0.0044064126335170905,0.0044064126335170905,0.0,0.42890625,9.610232395867301,92.91184834570944,0.32161137074920576,480,0.008337773294577609,0.008337773294577609,0.008337773294577609,0.008337773294577609,0.015546752584701158,0.006142118071275049,0.013673295529437926,0.32161137074920576
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_PATH,16,0,8,per_prompt_helmert,0.010941892953761722,0.01093379799421492,0.010941892953761722,0.01093379799421492,0.00736400462962963,0.2827835648148148,127.20892668739559,563.2676744577017,0.4752272987507571,960,0.02144998208305906,0.021445087893667194,0.02144998208305906,0.021445087893667194,0.040115581072592645,0.013541013773171028,0.0338364607491157,0.47511886731266706
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0,8,per_prompt_helmert,0.010941892953761722,0.01093379799421492,0.010941892953761722,0.01093379799421492,0.00736400462962963,0.2827835648148148,127.20892668739559,563.2676744577017,0.4752272987507571,960,0.02144998208305906,0.021445087893667194,0.02144998208305906,0.021445087893667194,0.040115581072592645,0.013541013773171028,0.0338364607491157,0.47511886731266706
B5_WORST_GROUP_RANK,2,exact,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.00040610692521839283,0.00040610692521839267,0.0004061069252183931,0.00040610692521839267,0.0,0.861111111111111,0.008591304352948786,0.4918481073406968,0.1321642664903743,60,0.0007051113138148624,0.0007051113138148624,0.0007051113138148624,0.0007051113138148624,0.0011112316246873778,0.0003561572593478097,0.0007566967605033395,0.1321642664903743
