method,rank_cap,n,selection_source,seed,arm,anchor,elapsed_step,group,event,truth,raw_prediction,envelope_lower,envelope_upper,envelope_label
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,2,pX,0.08037430221637283,0.06510416666666667,-0.044053863483652145,0.1742621968169855,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,2,v,0.8603798328866707,0.8372395833333334,0.7280815531830146,0.9463976134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,3,pX,0.0804511552335025,0.055989583333333336,-0.05316844681698548,0.16514761348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,3,v,0.8600520684705424,0.84765625,0.7384982198496812,0.9568142801503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,4,pX,0.07871407637492119,0.05078125,-0.058376780150318816,0.15993928015031883,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,4,v,0.8597089366160011,0.8828125,0.7736544698496812,0.9919705301503188,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,5,pX,0.07873767675459974,0.07552083333333333,-0.03363719681698549,0.18467886348365214,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,9,5,v,0.8599479784960076,0.8606770833333334,0.7515190531830146,0.9698351134836521,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,0,pX,0.08568399951032434,0.07291666666666667,-0.036241363483652145,0.1820746968169855,EMPIRICAL_CALIBRATED_ENVELOPE
B5_WORST_GROUP_RANK,0,64,n64 model selection,301,X_BASE,8,10,0,v,0.8617343417992457,0.8216145833333334,0.7124565531830146,0.9307726134836521,EMPIRICAL_CALIBRATED_ENVELOPE
