seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,threshold,eligible_prompt_branches,eligible_branches,correct,accuracy
301,X_BASE,8,B2_RANDOM_Q,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B2_RANDOM_Q,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.002,54,8,29,0.5370370370370371
301,X_BASE,8,B2_RANDOM_Q,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.002,54,8,29,0.5370370370370371
301,X_BASE,8,B2_RANDOM_Q,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.002,54,8,32,0.5925925925925926
301,X_BASE,8,B2_RANDOM_Q,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B2_RANDOM_Q,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B3_UPDATE_PCA,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.002,54,8,28,0.5185185185185185
301,X_BASE,8,B3_UPDATE_PCA,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B3_UPDATE_PCA,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,4,1e-05,64,0,8,per_prompt,actual_d,4,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B3_UPDATE_PCA,4,1e-05,64,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,4,1e-05,64,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B3_UPDATE_PCA,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B3_UPDATE_PCA,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,16,0.01,64,0,8,per_prompt,actual_d,16,23,0.01,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B3_UPDATE_PCA,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
301,X_BASE,8,B3_UPDATE_PCA,FULL,0.01,64,0,8,per_prompt,actual_d,23,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B4_RESPONSE_SVD,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,0,0.0,64,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.002,54,8,20,0.37037037037037035
301,X_BASE,8,B4_RESPONSE_SVD,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,1,0.01,64,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.002,54,8,29,0.5370370370370371
301,X_BASE,8,B4_RESPONSE_SVD,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,2,0.01,64,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B4_RESPONSE_SVD,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,4,0.01,64,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,B4_RESPONSE_SVD,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.002,54,8,30,0.5555555555555556
301,X_BASE,8,B4_RESPONSE_SVD,8,0.01,64,0,8,per_prompt,actual_d,8,23,0.005,0,0,0,
