seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
306,X_BASE,24,64,0,0,16,0.0002049312754073205,0.011767409818876088,0.0,0.011939836327639172,0.17456201301606045,0.17411118697863948,-0.00033874674615652633
306,X_BASE,24,256,0,0,16,0.0002049312754073205,0.011767409818876088,0.0,0.011939836327639172,0.17456201301606045,0.17411118697863948,-0.00033874674615652633
306,X_BASE,40,exact,0,0,14,0.0001435667312344289,0.008982150452864055,0.0,0.008894606310216581,0.13045190340926524,0.12709827765806456,-0.0026647250533267802
306,X_BASE,40,16,0,0,14,0.0001435667312344289,0.008982150452864055,0.0,0.008894606310216581,0.13045190340926524,0.12709827765806456,-0.0026647250533267802
306,X_BASE,40,64,0,0,14,0.0001435667312344289,0.008982150452864055,0.0,0.008894606310216581,0.13045190340926524,0.12709827765806456,-0.0026647250533267802
306,X_BASE,40,256,0,0,14,0.0001435667312344289,0.008982150452864055,0.0,0.008894606310216581,0.13045190340926524,0.12709827765806456,-0.0026647250533267802
306,X_VALID,8,exact,0,0,19,6.724991775923178e-05,0.004982892430678074,0.0,0.004934434601322173,0.07335155754867125,0.07162406230950558,-0.0015481728467525574
306,X_VALID,8,16,0,0,19,6.724991775923178e-05,0.004982892430678074,0.0,0.004934434601322173,0.07335155754867125,0.07162406230950558,-0.0015481728467525574
306,X_VALID,8,64,0,0,19,6.724991775923178e-05,0.004982892430678074,0.0,0.004934434601322173,0.07335155754867125,0.07162406230950558,-0.0015481728467525574
306,X_VALID,8,256,0,0,19,6.724991775923178e-05,0.004982892430678074,0.0,0.004934434601322173,0.07335155754867125,0.07162406230950558,-0.0015481728467525574
306,X_VALID,24,exact,0,0,8,6.953872307998706e-05,0.0018814753424974977,0.0,0.001820845512753997,0.02757207084181311,0.025622618438886524,-0.0017459409606899734
306,X_VALID,24,16,0,0,8,6.953872307998706e-05,0.0018814753424974977,0.0,0.001820845512753997,0.02757207084181311,0.025622618438886524,-0.0017459409606899734
306,X_VALID,24,64,0,0,8,6.953872307998706e-05,0.0018814753424974977,0.0,0.001820845512753997,0.02757207084181311,0.025622618438886524,-0.0017459409606899734
306,X_VALID,24,256,0,0,8,6.953872307998706e-05,0.0018814753424974977,0.0,0.001820845512753997,0.02757207084181311,0.025622618438886524,-0.0017459409606899734
306,X_VALID,40,exact,0,0,11,1.277309623116797e-05,0.0021339209053580035,0.0,0.0021387579034213783,0.03095308220992588,0.0308436184755479,-8.559495653556737e-05
