seed,arm,anchor,n,oracle_min_mass,oracle_qualified_prompts,observed_defined_prompts,total_prompts,oracle_coverage_fraction,scored_coverage_fraction,subset_label,window_includes_fit_eval_and_16_steps,conditional_probability_mae,conditional_raw_invalid_fraction,status
305,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.039116785608872134,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004163297270911742,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.035010451595614146,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005479895011169483,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.028152479036377135,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0006047556212351243,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.023108789443010556,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0005059415809963376,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02499468639228137,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
306,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0022942725144396744,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
