method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,1,0.015592732450369027,0.0118726824756426,0.015592732450369027,0.0118726824756426,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,2,0.01371975585825075,0.012818138592382174,0.01371975585825075,0.012818138592382174,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,3,0.01451707939183962,0.011466106147390567,0.01451707939183962,0.011466106147390567,0.0010158040448788616,0.002758363693844634,0.002371451284482701,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,4,0.015271796215755393,0.01127661988839767,0.015271796215755393,0.01127661988839767,0.0009525213079671415,0.002675358199704587,0.002108164101801902,0.006386512534114926,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,5,0.014214996140965755,0.011852444819822085,0.014214996140965755,0.011852444819822085,0.0009611766479887744,0.0026869942953125334,0.002117578829285509,0.0063283696815081975,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,0,0.010733262803372442,0.007876369450711943,0.0105308021983309,0.007789565808961351,0.009736964816210216,0.0074661837674481115,0.03105857814483507,0.026145632122272375,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,1,0.010296844506577151,0.00813262102589644,0.010092170654320842,0.008028738649090456,0.0091920374112447,0.0072552590446244,0.032681669996255686,0.025224438192864032,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,2,0.00971905028003179,0.008572733253175794,0.009598115293469284,0.008438517072823294,0.008239885220185938,0.007772252247391631,0.03014002382065233,0.027073544571257314,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,3,0.009951575875584978,0.008031649169309991,0.009819399973317024,0.00784262059590819,0.00927358373083055,0.006910825098335665,0.03182258750133021,0.023624481254284267,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,4,0.01052469856672581,0.0075421096151804135,0.010319288742259392,0.00742403306106367,0.00913895859138865,0.0074873442256968795,0.030269519457312346,0.026313251097172603,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,5,0.009594873781662707,0.007955195325245388,0.009411390239336717,0.007766174957569062,0.009104994513181362,0.007731094666779,0.03301123748897446,0.025687103338279307,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,0,0.004238788991661733,0.003957741593745901,0.004238788991661733,0.003957741593745901,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,1,0.0041338647883180585,0.004000621837084408,0.0041338647883180585,0.004000621837084408,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,2,0.0038783894485570174,0.004003203018259815,0.0038783894485570174,0.004003203018259815,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,3,0.004251043667859544,0.003709394994300296,0.004251043667859544,0.003709394994300296,0.0010158040448788616,0.002758363693844634,0.002371451284482701,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,4,0.003987571969373706,0.003594851230541548,0.003987571969373706,0.003594851230541548,0.0009525213079671415,0.002675358199704587,0.002108164101801902,0.006386512534114926,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,5,0.0036955535147423896,0.004434478516563139,0.0036955535147423896,0.004434478516563139,0.0009611766479887744,0.0026869942953125334,0.002117578829285509,0.0063283696815081975,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,0,0.001685034858093331,0.0012568788988558887,0.0016846277744251746,0.0012561240089978762,0.004533013169400086,0.0032656002869450424,0.01236647009730295,0.008585143484358461,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,1,0.0016977597752894232,0.0012299268613185394,0.0016979700488247665,0.0012311086954053013,0.004082687918021396,0.003368236364561034,0.01055627916518295,0.009364661248122332,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,2,0.0015121034420558365,0.0012578413950528778,0.0015116471493206004,0.0012567479685659153,0.003949865070619059,0.0034189720715477323,0.009822281852074921,0.009405331666778588,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,3,0.001568075236770602,0.0012618868926612071,0.0015679036779872935,0.001261604658000914,0.004209509521479255,0.002968206944375101,0.01023593511382027,0.008235496969763065,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,4,0.0016008978187889748,0.0011910984663193597,0.0016004271829654815,0.0011903961939110524,0.004157005917029235,0.0030381673655779135,0.010474188273669372,0.008882006767829156,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,5,0.0014474839985085758,0.0011639841124550698,0.0014470830954447839,0.0011641355909857033,0.00375190318625671,0.003371813360659524,0.009797494933971982,0.009371029194151453,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,0,0.004238788991661733,0.003957741593745901,0.004238788991661733,0.003957741593745901,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,1,0.0041338647883180585,0.004000621837084408,0.0041338647883180585,0.004000621837084408,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,2,0.0038783894485570174,0.004003203018259815,0.0038783894485570174,0.004003203018259815,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
