seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,metric_space,full_J_rmse,low_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_residual_norm_mean,frozen_model_reproduction_max_abs,source_frozen_record,vector_file
302,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013252629000378742,0.0005411632080819322,0.0004794635901443014,0.0006575743886081361,0.0003499935931638349,0.018276528594140917,0.003878356375430552,0.0,2174,exact_rule_vectors/002174.npz
302,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013252629000378742,0.00737704602975303,0.007464302075119911,0.010520889788195882,0.013272795967061754,0.2506664801095825,0.18890077497798863,0.0,2216,exact_rule_vectors/002216.npz
302,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013252629000378742,0.007377208337606294,0.007464373319161229,0.017653064011670057,0.0188495733622986,0.3556948071726007,0.2669393926859743,0.0,2325,exact_rule_vectors/002325.npz
302,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00013252629000378742,0.007218636435152622,0.007303542138425492,0.020383459443574888,0.019129821791994975,0.4059452427458366,0.2788438490789522,0.0,2353,exact_rule_vectors/002353.npz
302,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.411237584710348e-05,0.0008485531724837269,0.0008725377639215982,0.0008086700859126362,0.00033719616313138373,0.024738591225442308,0.0038686199614721816,0.0,2411,exact_rule_vectors/002411.npz
302,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.411237584710348e-05,0.002078821162578845,0.002053954655218956,0.051627540175414544,0.05165692847588991,0.765463375612824,0.7363579675843778,0.0,2453,exact_rule_vectors/002453.npz
302,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.411237584710348e-05,0.001961961868188362,0.0019377501285796617,0.10207576563780722,0.10223438819968617,1.4691690723363484,1.4437419180889757,0.0,2562,exact_rule_vectors/002562.npz
302,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.411237584710348e-05,0.0019245524855699694,0.001900228654486504,0.022743707525227058,0.022846252512693278,0.3373658389665777,0.3119099449191049,0.0,2590,exact_rule_vectors/002590.npz
302,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.1771178072398926e-05,0.0005939229414400032,0.0006148262535134151,0.0006100877908404587,0.00020793641590588635,0.0183100112104477,0.0027900698797976,0.0,2648,exact_rule_vectors/002648.npz
302,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,12,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,3.1771178072398926e-05,0.002610696080605721,0.0025849369099176685,0.03234919704901973,0.03244903958801838,0.5037868047444929,0.46717433913399825,0.0,2690,exact_rule_vectors/002690.npz
