method,rank_cap,n,H,fit_budget_required,calibration_panels_required,cost_label,calibration_exact_compute_seconds,calibration_branch_seconds,calibration_counts_seconds,calibration_M2_output_io_seconds,frozen_fit_replay_seconds,refresh_full_panel_seconds,tracking_read_predict_output_seconds,dense_read_output_seconds,model_full_accounted_cpu_seconds,dense_full_accounted_cpu_seconds,model_minus_dense_seconds,all_included_cost_components,largest_tested_qualified_H,cpu_cost_evidence_status,real_Qwen_seconds
B5_WORST_GROUP_RANK,0,16,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006718750034148494,0.001068184995741254,0.01630709299691565,4.86744562901246e-05,0.05082597466971999,0.0011168594520313787,0.049709115217688615,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,16,2,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006718750034148494,0.001068184995741254,0.0163330052891979,9.73489125802492e-05,0.05085188696200224,0.0022337189040627574,0.04861816805793948,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,16,4,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006718750034148494,0.001068184995741254,0.016384829873762406,0.0001946978251604984,0.05090371154656675,0.004467437808125515,0.04643627373844123,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,16,8,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006718750034148494,0.001068184995741254,0.016488479042891413,0.0003893956503209968,0.051007360715695754,0.00893487561625103,0.04207248509944472,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,16,16,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006718750034148494,0.001068184995741254,0.016695777381149433,0.0007787913006419936,0.051214659053953775,0.01786975123250206,0.03334490782145172,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,16,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006682083088283738,0.001068184995741254,0.01639513689830589,4.86744562901246e-05,0.05091035187652376,0.0011168594520313787,0.04979349242449239,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,16,2,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006682083088283738,0.001068184995741254,0.016448635122894,9.73489125802492e-05,0.050963850101111874,0.0022337189040627574,0.048730131197049116,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,16,4,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006682083088283738,0.001068184995741254,0.016555631572070222,0.0001946978251604984,0.051070846550288096,0.004467437808125515,0.04660340874216258,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,16,8,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006682083088283738,0.001068184995741254,0.016769624470422666,0.0003893956503209968,0.05128483944864054,0.00893487561625103,0.04234996383238951,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,16,16,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006682083088283738,0.001068184995741254,0.017197610267127555,0.0007787913006419936,0.05171282524534543,0.01786975123250206,0.033843074012843366,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,64,1,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0003079350256787924,5.8449668964991965e-05,0.0013761200214200465,0.001126634664706246,0.00024948535671380045,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,64,2,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0003224810498068109,0.00011689933792998393,0.001390666045548065,0.002253269329412492,-0.0008626032838644272,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,64,4,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0003515730980628481,0.00023379867585996786,0.0014197580938041022,0.004506538658824984,-0.003086780565020882,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,64,8,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0004097571945749223,0.0004675973517199357,0.0014779421903161763,0.009013077317649968,-0.007535135127333792,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B0_PERSISTENCE,0,64,16,0,0,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0,0.0,0.0,0.0,0.0,0.001068184995741254,0.0005261253875990709,0.0009351947034398714,0.001594310383340325,0.018026154635299937,-0.01643184425195961,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,64,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0005874446360394359,0.001068184995741254,0.01718932971804558,5.8449668964991965e-05,0.05162378102347451,0.001126634664706246,0.050497146358768265,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,64,2,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0005874446360394359,0.001068184995741254,0.017244715117461357,0.00011689933792998393,0.05167916642289029,0.002253269329412492,0.0494258970934778,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,64,4,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0005874446360394359,0.001068184995741254,0.017355485916292917,0.00023379867585996786,0.05178993722172184,0.004506538658824984,0.04728339856289686,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,64,8,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0005874446360394359,0.001068184995741254,0.01757702751395603,0.0004675973517199357,0.05201147881938496,0.009013077317649968,0.04299840150173499,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B6_FULL_Q_RIDGE,FULL,64,16,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0005874446360394359,0.001068184995741254,0.01802011070928226,0.0009351947034398714,0.05245456201471119,0.018026154635299937,0.03442840737941125,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,64,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0018578476574392924,0.02053464912073905,0.0006444860094537338,0.001068184995741254,0.017683675983183395,5.8449668964991965e-05,0.05217516866202662,0.001126634664706246,0.05104853399732038,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
