seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v,source_frozen_record
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,8,5,-9.348951628715975e-05,0.0010818133805473543,3.0807265631567644e-05,-0.0011595392598880612,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,9,0,-9.160961964205396e-05,0.0012670113893059529,0.0008890679334617878,-0.0006847746585340713,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,9,1,-0.0005902231957231869,0.001246945466656266,-0.0002191892319417482,-0.0006574366382827759,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,9,2,-8.787313898659599e-05,0.001182850805622333,3.0510857394934118e-05,-0.0005891786196320706,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,9,3,0.00026221512678881046,0.0011557624211680055,0.0002682579635100777,-0.0005505724964784293,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,9,4,0.00038088851144487567,0.0010368789434947914,-0.0007357355032756429,-0.0005909946835355567,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,9,5,-7.812457377827804e-05,0.0010250280948951081,2.5744111129506177e-05,-0.0005548646538743272,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,10,0,-0.0005108420765576855,0.0007357856594238411,0.004957703253272535,0.0028400384547191703,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,10,1,-0.0032912574477859304,0.0006981624164457667,-0.0012222633697390216,0.0028907871814426236,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,10,2,-0.0004900063658047122,0.0007683048053346055,0.00017013747912155526,0.002918475771214892,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,10,3,0.001462188364027898,0.0007378714330044667,0.0014958849918607917,0.0030020097641641,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,10,4,0.0021239459227505183,0.0006741408131908556,-0.004102676703157163,0.0028791757276320656,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,10,5,-0.00043564551031886537,0.000650166507384979,0.00014355670550663015,0.0029681034015989808,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,11,0,-9.160961964205396e-05,0.0012670113893059529,0.0008890679334617878,-0.0006847746585340713,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,11,1,-0.0005902231957231869,0.001246945466656266,-0.0002191892319417482,-0.0006574366382827759,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,11,2,-8.787313898659599e-05,0.001182850805622333,3.0510857394934118e-05,-0.0005891786196320706,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,11,3,0.00026221512678881046,0.0011557624211680055,0.0002682579635100777,-0.0005505724964784293,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,11,4,0.00038088851144487567,0.0010368789434947914,-0.0007357355032756429,-0.0005909946835355567,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,11,5,-7.812457377827804e-05,0.0010250280948951081,2.5744111129506177e-05,-0.0005548646538743272,83
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,0,-0.00028804309965960607,0.002553804546997862,-0.004505370926430137,0.00541119035656561,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,1,-0.0010292468221629186,0.002559452977113579,0.0016394310236615831,0.0053061301032250935,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,2,0.012192553781040089,0.0022280350647061534,0.012076616779706376,0.005359230968588047,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,3,-0.011770252934466043,0.00218641381252437,0.01606516094486602,0.005276469310907935,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,4,0.0141467584912491,0.0021000720758997927,-9.703158514489582e-05,0.005397281052116246,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,5,-0.0032623097695786956,0.0021174661710414815,0.017793146427702272,0.005280765935209563,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,0,-0.00032683251277207506,0.0019609040891182886,-0.00511208809582851,0.007694419332504025,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,1,-0.0011678506638336753,0.0019708048801300193,0.0018602055095678898,0.007669957416830547,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,2,0.013834467807335687,0.0016829397074681282,0.013702918113856025,0.00773031966814447,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,3,-0.013355297686632657,0.0016689904634078166,0.01822858081274392,0.007745046190146564,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,4,0.016051836099314976,0.0016349886223910506,-0.0001100983735720142,0.007704616469379927,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,5,-0.0037016297237889447,0.0016495225947732207,0.020189265995122687,0.007667554443537135,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,0,-0.00034813121265446327,0.0023585462273561244,-0.005445227627149512,0.006772791307847449,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,1,-0.0012439560077771694,0.0023565640664601497,0.001981429553442228,0.006666910714884631,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,2,0.014736018804700574,0.002101748037794185,0.01459589641012309,0.006766047145308023,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,3,-0.014225622596645034,0.0020551660686314497,0.01941648304658059,0.006683485219678829,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,4,0.017097886373630657,0.0019815526030081717,-0.00011727315614293934,0.006786254578962418,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,5,-0.003942853890546398,0.001993227105217514,0.021504940233369598,0.006669581938784884,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,0,-0.00010814539701816635,0.0024026112579506854,-0.0016915354963499545,0.0037371007807282856,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,1,-0.00038642934458083845,0.0024110468564079016,0.0006155221879895782,0.003633084891260707,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,2,0.004577678031079862,0.002243667327664145,0.004534149638790144,0.0036753369208531506,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,3,-0.004419125742315341,0.0022046792293840428,0.0060316432179642965,0.0035909782162293646,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,4,0.0053113815792296785,0.0020082170010681734,-3.6430379034240106e-05,0.0037682935403796115,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,5,-0.0012248298454094406,0.0020295097596398077,0.006680413059365782,0.00365354000931086,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,0,-0.00010814539701816635,0.0024026112579506854,-0.0016915354963499545,0.0037371007807282856,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,1,-0.00038642934458083845,0.0024110468564079016,0.0006155221879895782,0.003633084891260707,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,2,0.004577678031079862,0.002243667327664145,0.004534149638790144,0.0036753369208531506,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,3,-0.004419125742315341,0.0022046792293840428,0.0060316432179642965,0.0035909782162293646,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,4,0.0053113815792296785,0.0020082170010681734,-3.6430379034240106e-05,0.0037682935403796115,320
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,5,-0.0012248298454094406,0.0020295097596398077,0.006680413059365782,0.00365354000931086,320
