method,rank_cap,alpha,n,fit_budget,representation,input_mode,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage,frozen_record_ids
B5_WORST_GROUP_RANK,16,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[28, 265, 502, 739, 976, 1213, 1450, 1687, 1924, 2161, 2398, 2635, 2872, 3109, 3346, 3583, 3820, 4057, 4294, 4531, 4768, 5005, 5242, 5479, 5716, 5953, 6190, 6427, 6664, 6901, 7138, 7375, 7612, 7849, 8086, 8323, 8560, 8797, 9034, 9271, 9508, 9745, 9982, 10219, 10456, 10693, 10930, 11167, 11404, 11641, 11878, 12115, 12352, 12589, 12826, 13063, 13300, 13537, 13774, 14011]"
B5_WORST_GROUP_RANK,FULL,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[29, 266, 503, 740, 977, 1214, 1451, 1688, 1925, 2162, 2399, 2636, 2873, 3110, 3347, 3584, 3821, 4058, 4295, 4532, 4769, 5006, 5243, 5480, 5717, 5954, 6191, 6428, 6665, 6902, 7139, 7376, 7613, 7850, 8087, 8324, 8561, 8798, 9035, 9272, 9509, 9746, 9983, 10220, 10457, 10694, 10931, 11168, 11405, 11642, 11879, 12116, 12353, 12590, 12827, 13064, 13301, 13538, 13775, 14012]"
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[30, 267, 504, 741, 978, 1215, 1452, 1689, 1926, 2163, 2400, 2637, 2874, 3111, 3348, 3585, 3822, 4059, 4296, 4533, 4770, 5007, 5244, 5481, 5718, 5955, 6192, 6429, 6666, 6903, 7140, 7377, 7614, 7851, 8088, 8325, 8562, 8799, 9036, 9273, 9510, 9747, 9984, 10221, 10458, 10695, 10932, 11169, 11406, 11643, 11880, 12117, 12354, 12591, 12828, 13065, 13302, 13539, 13776, 14013]"
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,robust,1,[0],60,10,MATCHES_B0_EXACTLY,"[30, 267, 504, 741, 978, 1215, 1452, 1689, 1926, 2163, 2400, 2637, 2874, 3111, 3348, 3585, 3822, 4059, 4296, 4533, 4770, 5007, 5244, 5481, 5718, 5955, 6192, 6429, 6666, 6903, 7140, 7377, 7614, 7851, 8088, 8325, 8562, 8799, 9036, 9273, 9510, 9747, 9984, 10221, 10458, 10695, 10932, 11169, 11406, 11643, 11880, 12117, 12354, 12591, 12828, 13065, 13302, 13539, 13776, 14013]"
O0_FULL_J_ORACLE,FULL,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[31, 268, 505, 742, 979, 1216, 1453, 1690, 1927, 2164, 2401, 2638, 2875, 3112, 3349, 3586, 3823, 4060, 4297, 4534, 4771, 5008, 5245, 5482, 5719, 5956, 6193, 6430, 6667, 6904, 7141, 7378, 7615, 7852, 8089, 8326, 8563, 8800, 9037, 9274, 9511, 9748, 9985, 10222, 10459, 10696, 10933, 11170, 11407, 11644, 11881, 12118, 12355, 12592, 12829, 13066, 13303, 13540, 13777, 14014]"
O1_JQ_SVD_ORACLE,0,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[32, 269, 506, 743, 980, 1217, 1454, 1691, 1928, 2165, 2402, 2639, 2876, 3113, 3350, 3587, 3824, 4061, 4298, 4535, 4772, 5009, 5246, 5483, 5720, 5957, 6194, 6431, 6668, 6905, 7142, 7379, 7616, 7853, 8090, 8327, 8564, 8801, 9038, 9275, 9512, 9749, 9986, 10223, 10460, 10697, 10934, 11171, 11408, 11645, 11882, 12119, 12356, 12593, 12830, 13067, 13304, 13541, 13778, 14015]"
O1_JQ_SVD_ORACLE,1,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[33, 270, 507, 744, 981, 1218, 1455, 1692, 1929, 2166, 2403, 2640, 2877, 3114, 3351, 3588, 3825, 4062, 4299, 4536, 4773, 5010, 5247, 5484, 5721, 5958, 6195, 6432, 6669, 6906, 7143, 7380, 7617, 7854, 8091, 8328, 8565, 8802, 9039, 9276, 9513, 9750, 9987, 10224, 10461, 10698, 10935, 11172, 11409, 11646, 11883, 12120, 12357, 12594, 12831, 13068, 13305, 13542, 13779, 14016]"
O1_JQ_SVD_ORACLE,2,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[34, 271, 508, 745, 982, 1219, 1456, 1693, 1930, 2167, 2404, 2641, 2878, 3115, 3352, 3589, 3826, 4063, 4300, 4537, 4774, 5011, 5248, 5485, 5722, 5959, 6196, 6433, 6670, 6907, 7144, 7381, 7618, 7855, 8092, 8329, 8566, 8803, 9040, 9277, 9514, 9751, 9988, 10225, 10462, 10699, 10936, 11173, 11410, 11647, 11884, 12121, 12358, 12595, 12832, 13069, 13306, 13543, 13780, 14017]"
O1_JQ_SVD_ORACLE,4,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[35, 272, 509, 746, 983, 1220, 1457, 1694, 1931, 2168, 2405, 2642, 2879, 3116, 3353, 3590, 3827, 4064, 4301, 4538, 4775, 5012, 5249, 5486, 5723, 5960, 6197, 6434, 6671, 6908, 7145, 7382, 7619, 7856, 8093, 8330, 8567, 8804, 9041, 9278, 9515, 9752, 9989, 10226, 10463, 10700, 10937, 11174, 11411, 11648, 11885, 12122, 12359, 12596, 12833, 13070, 13307, 13544, 13781, 14018]"
O1_JQ_SVD_ORACLE,8,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[36, 273, 510, 747, 984, 1221, 1458, 1695, 1932, 2169, 2406, 2643, 2880, 3117, 3354, 3591, 3828, 4065, 4302, 4539, 4776, 5013, 5250, 5487, 5724, 5961, 6198, 6435, 6672, 6909, 7146, 7383, 7620, 7857, 8094, 8331, 8568, 8805, 9042, 9279, 9516, 9753, 9990, 10227, 10464, 10701, 10938, 11175, 11412, 11649, 11886, 12123, 12360, 12597, 12834, 13071, 13308, 13545, 13782, 14019]"
O1_JQ_SVD_ORACLE,16,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[37, 274, 511, 748, 985, 1222, 1459, 1696, 1933, 2170, 2407, 2644, 2881, 3118, 3355, 3592, 3829, 4066, 4303, 4540, 4777, 5014, 5251, 5488, 5725, 5962, 6199, 6436, 6673, 6910, 7147, 7384, 7621, 7858, 8095, 8332, 8569, 8806, 9043, 9280, 9517, 9754, 9991, 10228, 10465, 10702, 10939, 11176, 11413, 11650, 11887, 12124, 12361, 12598, 12835, 13072, 13309, 13546, 13783, 14020]"
O1_JQ_SVD_ORACLE,FULL,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[38, 275, 512, 749, 986, 1223, 1460, 1697, 1934, 2171, 2408, 2645, 2882, 3119, 3356, 3593, 3830, 4067, 4304, 4541, 4778, 5015, 5252, 5489, 5726, 5963, 6200, 6437, 6674, 6911, 7148, 7385, 7622, 7859, 8096, 8333, 8570, 8807, 9044, 9281, 9518, 9755, 9992, 10229, 10466, 10703, 10940, 11177, 11414, 11651, 11888, 12125, 12362, 12599, 12836, 13073, 13310, 13547, 13784, 14021]"
B4_ENERGY95,FULL,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[39, 276, 513, 750, 987, 1224, 1461, 1698, 1935, 2172, 2409, 2646, 2883, 3120, 3357, 3594, 3831, 4068, 4305, 4542, 4779, 5016, 5253, 5490, 5727, 5964, 6201, 6438, 6675, 6912, 7149, 7386, 7623, 7860, 8097, 8334, 8571, 8808, 9045, 9282, 9519, 9756, 9993, 10230, 10467, 10704, 10941, 11178, 11415, 11652, 11889, 12126, 12363, 12600, 12837, 13074, 13311, 13548, 13785, 14022]"
B2_FULL_PARAMETER_SKETCH,4,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[40, 277, 514, 751, 988, 1225, 1462, 1699, 1936, 2173, 2410, 2647, 2884, 3121, 3358, 3595, 3832, 4069, 4306, 4543, 4780, 5017, 5254, 5491, 5728, 5965, 6202, 6439, 6676, 6913, 7150, 7387, 7624, 7861, 8098, 8335, 8572, 8809, 9046, 9283, 9520, 9757, 9994, 10231, 10468, 10705, 10942, 11179, 11416, 11653, 11890, 12127, 12364, 12601, 12838, 13075, 13312, 13549, 13786, 14023]"
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[41, 278, 515, 752, 989, 1226, 1463, 1700, 1937, 2174, 2411, 2648, 2885, 3122, 3359, 3596, 3833, 4070, 4307, 4544, 4781, 5018, 5255, 5492, 5729, 5966, 6203, 6440, 6677, 6914, 7151, 7388, 7625, 7862, 8099, 8336, 8573, 8810, 9047, 9284, 9521, 9758, 9995, 10232, 10469, 10706, 10943, 11180, 11417, 11654, 11891, 12128, 12365, 12602, 12839, 13076, 13313, 13550, 13787, 14024]"
