method,rank_cap,alpha,n,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max
B4_RESPONSE_SVD,FULL,0.0,exact,0.00021489906075789476,0.0002148990607578944,0.00021489906075789484,0.00021489906075789443,0.0,0.878954475308642,0.015497987808849032,1.6924620366648147,0.09569256361212375,288,0.0004322601200120465,0.00043226012001204654,0.0004322601200120465,0.00043226012001204654,0.0007545342388495503,0.00016988219309653857,0.0005395810294790836
B4_RESPONSE_SVD,FULL,1e-08,exact,0.00021490097955497966,0.00021490097955497985,0.00021490097955497963,0.00021490097955497985,0.0,0.878954475308642,0.015498343655815325,1.6924620366648147,0.0956936621970954,288,0.0004322650825133502,0.00043226508251335025,0.00043226508251335025,0.0004322650825133502,0.0007545444927318387,0.00016988238652192175,0.0005395927737745182
B4_RESPONSE_SVD,FULL,1e-05,exact,0.00021674400637266213,0.0002167440063726624,0.0002167440063726621,0.0002167440063726624,0.0,0.878954475308642,0.01584135144828992,1.6924620366648147,0.09674680833751384,288,0.00043702232863429997,0.0004370223286343003,0.00043702232863429986,0.0004370223286343004,0.0007630696010005277,0.0001700624918703108,0.000544107622727065
B4_RESPONSE_SVD,FULL,0.01,exact,0.0003590305393886271,0.00035903053938862733,0.0003590305393886272,0.0003590305393886273,0.0,0.878954475308642,0.04083936792674707,1.6924620366648147,0.1553388329455226,288,0.0007016927965660193,0.0007016927965660195,0.0007016927965660195,0.0007016927965660195,0.0012398290594112006,0.00021709337497084405,0.0009062834029565813
B4_RESPONSE_SVD,FULL,0.0,64,0.03740851713175029,0.03652275497918311,0.0494271382857996,0.04856371683735145,0.1267039609053498,0.8789544753086419,1214.8508291584785,5.0773861099944435,15.468257099648202,864,0.0565406467943753,0.054522734849702735,0.06987283460576033,0.06828388580121775,0.10820045749849078,0.03815235119859581,0.03228761305450708
B4_RESPONSE_SVD,FULL,1e-08,64,0.03740605977757741,0.03652055844973541,0.049425080587980126,0.04856191584074537,0.12819894547325103,0.8789544753086419,1214.712835760026,5.0773861099944435,15.467378564633112,864,0.05653578144595833,0.0545185473558412,0.06986886610876616,0.06828050961085277,0.1081944721996038,0.038152036752076415,0.03228536519595114
B4_RESPONSE_SVD,FULL,1e-05,64,0.03573298376955811,0.03500264860736379,0.04805650233414603,0.04734671046875888,0.11736432613168724,0.8789544753086419,1130.1059476303215,5.0773861099944435,14.9189921345926,864,0.053467258329069255,0.05182714833409126,0.06739170827001162,0.06612996181702403,0.10286452099567196,0.036227321422709964,0.03152492324048199
B4_RESPONSE_SVD,FULL,0.01,64,0.01293515967141682,0.012933028382866375,0.03317300293790127,0.033171237404069104,0.0057066615226337445,0.8789544753086419,485.4586592886,5.0773861099944435,9.778135040525584,864,0.017722732187971935,0.017720878754472303,0.04416955368908191,0.044168854717138606,0.03555752249285443,0.02177194837113548,0.0201560920424121
B5_WORST_GROUP_RANK,0,0.0,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B5_WORST_GROUP_RANK,0,1e-08,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B5_WORST_GROUP_RANK,0,1e-05,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B5_WORST_GROUP_RANK,0,0.01,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B5_WORST_GROUP_RANK,0,0.0,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B5_WORST_GROUP_RANK,0,1e-08,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B5_WORST_GROUP_RANK,0,1e-05,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B5_WORST_GROUP_RANK,0,0.01,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B5_WORST_GROUP_RANK,1,0.0,exact,0.0006164311703667803,0.00061643117036678,0.0006164311703667804,0.00061643117036678,0.0,0.878954475308642,0.0973828698368488,1.6924620366648147,0.2398732484296026,288,0.001083549601347735,0.001083549601347735,0.001083549601347735,0.0010835496013477347,0.001730465975245847,0.0009022871969079745,0.003374270634235781
B5_WORST_GROUP_RANK,1,1e-08,exact,0.0006164301541094585,0.0006164301541094584,0.0006164301541094588,0.0006164301541094585,0.0,0.878954475308642,0.0973824364128283,1.6924620366648147,0.23987271462451143,288,0.0010835471900563652,0.0010835471900563654,0.0010835471900563652,0.0010835471900563654,0.001730472725344784,0.0009022872054320768,0.003374246338090478
B5_WORST_GROUP_RANK,1,1e-05,exact,0.0006157063179118622,0.0006157063179118619,0.0006157063179118625,0.0006157063179118619,0.0,0.878954475308642,0.09705428748219902,1.6924620366648147,0.23946822486158426,288,0.0010817200387410837,0.001081720038741084,0.001081720038741084,0.001081720038741084,0.0017293855567303742,0.0009022943640771221,0.003362282151195984
