method,rank_cap,alpha,n,fit_budget,representation,input_mode,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,1,0.01,exact,8,per_prompt,actual_d,0.0006444397158737508,0.0006444397158737507,0.0006444397158737508,0.0006444397158737507,0.0,0.8600887345679012,0.3022380153125264,5.548249977175462,0.2333976797596856,720,0.0012072912478679138,0.0012072912478679138,0.0012072912478679138,0.001207291247867914,0.0020182650411563023,0.0008394571678411029,0.0028185744459315377,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,2,0.01,exact,8,per_prompt,actual_d,0.0004235007346184825,0.00042350073461848236,0.0004235007346184826,0.00042350073461848236,0.0,0.8600887345679012,0.172280555465012,5.548249977175462,0.17621388314676273,720,0.000911497831062211,0.0009114978310622111,0.0009114978310622111,0.0009114978310622111,0.0014616869872139625,0.0003364233591086434,0.0009682942378759896,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,4,0.01,exact,8,per_prompt,actual_d,0.00041427196047066905,0.00041427196047066905,0.000414271960470669,0.00041427196047066905,0.0,0.8600887345679012,0.16335362049904315,5.548249977175462,0.17158778664403884,720,0.0008875685194028943,0.0008875685194028946,0.0008875685194028943,0.0008875685194028946,0.0014758999599233885,0.0002883975702728967,0.0009655883436262525,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,8,0.01,exact,8,per_prompt,actual_d,0.0004141333551477758,0.0004141333551477758,0.0004141333551477758,0.0004141333551477758,0.0,0.8600887345679012,0.16456256616084328,5.548249977175462,0.17222155869591724,720,0.0008908468187080284,0.0008908468187080286,0.0008908468187080284,0.0008908468187080286,0.0014873481110483876,0.0002815584251804949,0.0009499026498013998,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,16,0.01,exact,8,per_prompt,actual_d,0.0004143063841291248,0.00041430638412912475,0.0004143063841291249,0.00041430638412912475,0.0,0.8600887345679012,0.16439243462548261,5.548249977175462,0.17213251081652423,720,0.0008903862026233137,0.0008903862026233139,0.0008903862026233137,0.0008903862026233139,0.0014892678170960773,0.0002824910647408485,0.0009553893354692299,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,FULL,0.01,exact,8,per_prompt,actual_d,0.0004143300235550587,0.00041433002355505865,0.0004143300235550587,0.00041433002355505865,0.0,0.8600887345679012,0.1644001697502004,5.548249977175462,0.17213656042738448,720,0.0008904071499598678,0.0008904071499598679,0.0008904071499598678,0.0008904071499598679,0.0014893736197639726,0.0002824910647408485,0.000956181894761841,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,0.00041433002355505756,0.0004143300235550574,0.00041433002355505756,0.00041433002355505745,0.0,0.8600887345679012,0.16440016975019983,5.548249977175462,0.1721365604273842,720,0.0008904071499598663,0.0008904071499598665,0.0008904071499598664,0.0008904071499598665,0.0014893736197639682,0.00028249106474084534,0.0009561818947618603,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O0_FULL_J_ORACLE,FULL,0.0,exact,8,per_prompt,actual_d,7.233454718970596e-05,7.233454718970491e-05,7.233454718970602e-05,7.23345471897049e-05,0.0,0.8600887345679012,0.0038750764265800502,5.548249977175462,0.026427867829134876,720,0.0001367028736651375,0.00013670287366513668,0.0001367028736651376,0.0001367028736651367,0.00021298136784510195,7.851744495525039e-05,0.000197519169966439,primary,1,[0],60,10,MATCHES_B0_EXACTLY
O1_JQ_SVD_ORACLE,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
