method,rank_cap,n,telemetry,H,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
NORM_ONLY_LOCAL_RIDGE,1,exact,NORM_ONLY,16,301,0.01530626133469117,0.01505542388387928,0.01530626133469117,0.01505542388387928,0.14409722222222224,0.3599537037037037,26.901785060286745,74.24316995548273,0.601952601755901,96,0.031193110868656664,0.030980772709701683,0.031193110868656664,0.030980772709701683,0.05968824765275987,0.012030779508310533,0.024913534323595016,0.5978549820034754
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_PATH,1,301,0.00048049346217064444,0.00048049346217064493,0.00048049346217064466,0.0004804934621706449,0.0,0.8657407407407408,0.0009331611904652645,0.05343179500340794,0.1321534338137605,6,0.0007348631417310341,0.0007348631417310349,0.000734863141731034,0.0007348631417310348,0.001159716568660292,0.00046044316919891204,0.0015410553998640628,0.13215343381376063
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_NET_DISPLACEMENT,1,301,0.00048049346217064444,0.00048049346217064493,0.00048049346217064466,0.0004804934621706449,0.0,0.8657407407407408,0.0009331611904652645,0.05343179500340794,0.1321534338137605,6,0.0007348631417310341,0.0007348631417310349,0.000734863141731034,0.0007348631417310348,0.001159716568660292,0.00046044316919891204,0.0015410553998640628,0.13215343381376063
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_PATH,2,301,0.000825697962561762,0.0008256979625617619,0.000825697962561762,0.0008256979625617618,0.0,0.7534722222222222,0.006194487024691388,0.2689153704866663,0.15177311956544198,12,0.001338800318145586,0.001338800318145586,0.0013388003181455856,0.0013388003181455858,0.0024318584008392314,0.0009382701276223833,0.0024283468056512767,0.151773119565442
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_NET_DISPLACEMENT,2,301,0.000825697962561762,0.0008256979625617619,0.000825697962561762,0.0008256979625617618,0.0,0.7534722222222222,0.006194487024691388,0.2689153704866663,0.15177311956544198,12,0.001338800318145586,0.001338800318145586,0.0013388003181455856,0.0013388003181455858,0.0024318584008392314,0.0009382701276223833,0.0024283468056512767,0.151773119565442
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_PATH,4,301,0.0014267823171986204,0.0014267823171986204,0.0014267823171986204,0.0014267823171986202,0.0,0.6302083333333334,0.03745048847264356,1.498372749581175,0.158095245855867,24,0.002327699313948845,0.0023276993139488456,0.0023276993139488447,0.002327699313948845,0.004574790313650111,0.001944064571692171,0.003144991866592268,0.15809524585586704
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_NET_DISPLACEMENT,4,301,0.0014267823171986204,0.0014267823171986204,0.0014267823171986204,0.0014267823171986202,0.0,0.6302083333333334,0.03745048847264356,1.498372749581175,0.158095245855867,24,0.002327699313948845,0.0023276993139488456,0.0023276993139488447,0.002327699313948845,0.004574790313650111,0.001944064571692171,0.003144991866592268,0.15809524585586704
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_PATH,8,301,0.003553562611635104,0.003553562611635104,0.0035535626116351047,0.003553562611635104,0.0,0.49855324074074076,0.6524641680212471,9.171674858572949,0.266719032973405,48,0.006870074877392634,0.006870074877392634,0.006870074877392634,0.006870074877392634,0.012872840850679565,0.0062979295375020445,0.006937406805080398,0.266719032973405
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_NET_DISPLACEMENT,8,301,0.003553562611635104,0.003553562611635104,0.0035535626116351047,0.003553562611635104,0.0,0.49855324074074076,0.6524641680212471,9.171674858572949,0.266719032973405,48,0.006870074877392634,0.006870074877392634,0.006870074877392634,0.006870074877392634,0.012872840850679565,0.0062979295375020445,0.006937406805080398,0.266719032973405
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_PATH,16,301,0.011169596470185034,0.011169596470185034,0.011169596470185035,0.011169596470185034,0.0,0.3599537037037037,15.786820158480795,74.24316995548273,0.46112543450619237,96,0.02389546412948638,0.02389546412948638,0.02389546412948638,0.02389546412948638,0.04426541905506418,0.01744141124406042,0.03589317936618448,0.46112543450619237
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,PROJECTION_AND_NET_DISPLACEMENT,16,301,0.011169596470185034,0.011169596470185034,0.011169596470185035,0.011169596470185034,0.0,0.3599537037037037,15.786820158480795,74.24316995548273,0.46112543450619237,96,0.02389546412948638,0.02389546412948638,0.02389546412948638,0.02389546412948638,0.04426541905506418,0.01744141124406042,0.03589317936618448,0.46112543450619237
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_PATH,1,301,0.00048049346217064444,0.00048049346217064493,0.00048049346217064466,0.0004804934621706449,0.0,0.8657407407407408,0.0009331611904652645,0.05343179500340794,0.1321534338137605,6,0.0007348631417310341,0.0007348631417310349,0.000734863141731034,0.0007348631417310348,0.001159716568660292,0.00046044316919891204,0.0015410553998640628,0.13215343381376063
